course_id,course_name,skill_id,difficulty,duration_hours,rating



1,Python Basics,1,Beginner,20,4.7
2,Advanced Python Programming,1,Intermediate,35,4.8
3,Java Fundamentals,2,Beginner,25,4.6
4,Java OOP Masterclass,2,Intermediate,40,4.8
5,C++ Programming Essentials,3,Beginner,30,4.6
6,HTML for Beginners,4,Beginner,10,4.7
7,CSS Complete Guide,5,Beginner,15,4.7
8,JavaScript Fundamentals,6,Beginner,25,4.8
9,Modern JavaScript Projects,6,Intermediate,35,4.8
10,SQL Fundamentals,7,Beginner,20,4.7
11,Machine Learning Foundations,8,Intermediate,40,4.9
12,Deep Learning Fundamentals,9,Advanced,45,4.9
13,Data Structures Masterclass,10,Intermediate,35,4.8
14,C Programming Basics,11,Beginner,20,4.5
15,C# Fundamentals,12,Beginner,25,4.6
16,Go Programming Essentials,13,Intermediate,30,4.7
17,Rust Programming Bootcamp,14,Advanced,40,4.8
18,Kotlin for Android,15,Intermediate,35,4.7
19,TypeScript Fundamentals,16,Intermediate,20,4.8
20,React Complete Course,17,Intermediate,40,4.9
21,Angular Masterclass,18,Intermediate,40,4.7
22,Vue.js Development,19,Intermediate,30,4.7
23,Node.js Backend Development,20,Intermediate,35,4.8
24,Express.js API Development,21,Intermediate,25,4.7
25,Bootstrap Essentials,22,Beginner,10,4.5
26,Tailwind CSS Mastery,23,Intermediate,15,4.7
27,PHP Web Development,24,Intermediate,30,4.6
28,Laravel Framework Course,25,Intermediate,35,4.7
29,Django Web Applications,26,Intermediate,40,4.8
30,Flask for Beginners,27,Beginner,20,4.6
31,ASP.NET Development,28,Intermediate,40,4.7
32,REST API Design,29,Intermediate,25,4.8
33,GraphQL Fundamentals,30,Advanced,20,4.7
34,MySQL Database Course,31,Beginner,20,4.7
35,PostgreSQL Administration,32,Intermediate,25,4.7
36,MongoDB Essentials,33,Intermediate,25,4.8
37,SQLite Fundamentals,34,Beginner,10,4.5
38,Firebase Development,35,Beginner,20,4.7
39,Redis Caching Systems,36,Advanced,15,4.7
40,Oracle SQL Professional,37,Intermediate,30,4.6
41,Database Design Principles,38,Intermediate,25,4.8
42,Data Warehousing Concepts,39,Advanced,35,4.7
43,ETL Pipeline Development,40,Advanced,30,4.7
44,NumPy for Data Science,41,Beginner,15,4.8
45,Pandas Data Analysis,42,Beginner,20,4.9
46,Matplotlib Visualization,43,Beginner,15,4.7
47,Seaborn Visualization,44,Intermediate,15,4.7
48,Data Cleaning Techniques,45,Beginner,15,4.8
49,Exploratory Data Analysis,46,Intermediate,20,4.8
50,Statistics for Data Science,47,Intermediate,25,4.8
